Date,Open,High,Low,Close,Adj Close,Volume,PE_Ratio,CAPE,Dividend_Yield
2023-11-30,4201.270020,4587.640137,4197.740234,4567.799805,4567.799805,80970570000,23.510000,30.010000,1.570000
2023-12-31,4559.430176,4793.299805,4546.500000,4769.830078,4769.830078,81530670000,24.350000,31.450000,1.500000
2024-01-31,4745.200195,4931.089844,4682.109863,4845.649902,4845.649902,81737880000,25.010000,31.970000,1.470000
2024-02-29,4861.109863,5111.060059,4853.520020,5096.270020,5096.270020,82066930000,26.140000,33.040000,1.410000
2024-03-31,5098.509766,5264.850098,5056.819824,5254.350098,5254.350098,86299510000,27.020000,33.760000,1.370000
2024-04-30,5257.970215,5263.950195,4953.560059,5035.689941,5035.689941,81747170000,26.410000,33.030000,1.400000
2024-05-31,5029.029785,5341.879883,5011.049805,5277.509766,5277.509766,86849720000,26.930000,33.780000,1.370000
2024-06-30,5297.149902,5523.640137,5234.319824,5460.479980,5460.479980,76025620000,27.640000,34.810000,1.330000
2024-07-31,5471.080078,5669.669922,5390.950195,5522.299805,5522.299805,80160390000,28.080000,35.480000,1.310000
2024-08-31,5537.839844,5651.620117,5119.259766,5648.399902,5648.399902,81097300000,27.670000,35.080000,1.330000
2024-09-30,5623.890137,5767.370117,5402.620117,5762.479980,5762.479980,79564830000,28.090000,35.700000,1.300000
2024-10-31,5757.729980,5878.459961,5674.000000,5705.450195,5705.450195,82412430000,28.450000,36.590000,1.280000
2024-11-30,5723.220215,6044.169922,5696.509766,6032.379883,6032.379883,84101980000,28.660000,37.360000,1.250000
2024-12-31,6040.109863,6099.970215,5832.299805,5881.629883,5881.629883,86064900000,28.600000,37.720000,1.240000
2025-01-31,5903.259766,6128.180176,5773.310059,6040.529785,6040.529785,88639380000,28.160000,37.140000,1.260000
2025-02-28,5969.649902,6147.430176,5837.660156,5954.500000,5954.500000,92317000000,28.150000,37.190000,1.250000
2025-03-31,5968.330078,5986.089844,5488.729980,5611.850098,5611.850098,111387270000,26.230000,34.790000,1.340000
2025-04-30,5597.529785,5695.310059,4835.040039,5569.060059,5569.060059,118936380000,24.560000,32.630000,1.430000
2025-05-31,5625.140137,5968.609863,5578.640137,5911.689941,5911.689941,105346260000,26.340000,35.080000,1.320000
2025-06-30,5896.680176,6215.080078,5861.430176,6204.950195,6204.950195,106456300000,27.100000,36.120000,1.280000
2025-07-31,6187.250000,6427.020020,6177.970215,6339.390137,6339.390137,114004890000,27.810000,37.480000,1.230000
2025-08-31,6287.279785,6508.229980,6212.689941,6460.259766,6460.259766,99352030000,27.840000,37.850000,1.220000
2025-09-30,6401.509766,6699.520020,6360.580078,6688.459961,6688.459961,114074610000,28.130000,38.590000,1.190000
2025-10-31,6664.919922,6920.339844,6550.779785,6840.200195,6840.200195,129661660000,,39.310000,1.170000
2025-11-30,6882.319824,6882.319824,6521.919922,6849.089844,6849.089844,100880170000,,39.280000,1.170000
2025-12-31,6812.299805,6945.770020,6720.430176,6845.500000,6845.500000,99928890000,,39.840000,1.150000
2026-01-31,6878.109863,7002.279785,6789.049805,6939.029785,6939.029785,108456600000,,40.030000,
2026-02-28,6916.640137,6993.479980,6775.500000,6878.879883,6878.879883,113685560000,,39.720000,
2026-03-31,6824.359863,6901.009766,6316.910156,6528.520020,6528.520020,129104600000,,39.200000,
